1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: PAR - Datetime;1: PAR - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2024-07-13 05:29:39.883;226;2024-07-13 05:29:39.883;665;2024-07-13 05:29:39.883;0;2024-07-13 05:29:39.883;23.5;2024-07-13 05:29:39.883;0.660;2024-07-13 05:29:39.883;0.0
2024-07-13 05:30:50.138;211;2024-07-13 05:30:50.138;624;2024-07-13 05:30:50.138;0;2024-07-13 05:30:50.138;23.5;2024-07-13 05:30:50.138;0.662;2024-07-13 05:30:50.138;0.0
2024-07-13 05:31:41.238;267;2024-07-13 05:31:41.238;721;2024-07-13 05:31:41.238;0;2024-07-13 05:31:41.238;23.5;2024-07-13 05:31:41.238;0.630;2024-07-13 05:31:41.238;0.0
2024-07-13 05:32:16.784;210;2024-07-13 05:32:16.784;608;2024-07-13 05:32:16.784;0;2024-07-13 05:32:16.784;23.5;2024-07-13 05:32:16.784;0.655;2024-07-13 05:32:16.784;0.0
2024-07-13 05:32:40.493;416;2024-07-13 05:32:40.493;1110;2024-07-13 05:32:40.493;0;2024-07-13 05:32:40.493;23.5;2024-07-13 05:32:40.493;0.625;2024-07-13 05:32:40.493;0.0
2024-07-13 05:33:54.905;230;2024-07-13 05:33:54.905;632;2024-07-13 05:33:54.905;0;2024-07-13 05:33:54.905;23.5;2024-07-13 05:33:54.905;0.636;2024-07-13 05:33:54.905;0.0
2024-07-13 05:35:02.128;322;2024-07-13 05:35:02.128;991;2024-07-13 05:35:02.128;0;2024-07-13 05:35:02.128;23.5;2024-07-13 05:35:02.128;0.675;2024-07-13 05:35:02.128;0.0
2024-07-13 05:35:26.894;285;2024-07-13 05:35:26.894;749;2024-07-13 05:35:26.894;0;2024-07-13 05:35:26.894;23.5;2024-07-13 05:35:26.894;0.619;2024-07-13 05:35:26.894;0.0
2024-07-13 05:35:48.341;314;2024-07-13 05:35:48.341;879;2024-07-13 05:35:48.341;0;2024-07-13 05:35:48.341;23.5;2024-07-13 05:35:48.341;0.643;2024-07-13 05:35:48.341;0.0
2024-07-13 05:36:09.222;205;2024-07-13 05:36:09.222;630;2024-07-13 05:36:09.222;0;2024-07-13 05:36:09.222;23.5;2024-07-13 05:36:09.222;0.675;2024-07-13 05:36:09.222;0.0
2024-07-13 05:36:31.307;169;2024-07-13 05:36:31.307;549;2024-07-13 05:36:31.307;0;2024-07-13 05:36:31.307;23.5;2024-07-13 05:36:31.307;0.692;2024-07-13 05:36:31.307;0.0
2024-07-13 05:36:55.128;306;2024-07-13 05:36:55.128;903;2024-07-13 05:36:55.128;0;2024-07-13 05:36:55.128;23.5;2024-07-13 05:36:55.128;0.661;2024-07-13 05:36:55.128;0.0
2024-07-13 05:37:15.392;245;2024-07-13 05:37:15.392;788;2024-07-13 05:37:15.392;0;2024-07-13 05:37:15.392;23.5;2024-07-13 05:37:15.392;0.689;2024-07-13 05:37:15.392;0.0
2024-07-13 05:37:49.512;334;2024-07-13 05:37:49.512;999;2024-07-13 05:37:49.512;0;2024-07-13 05:37:49.512;23.5;2024-07-13 05:37:49.512;0.666;2024-07-13 05:37:49.512;0.0
2024-07-13 05:38:07.670;363;2024-07-13 05:38:07.670;899;2024-07-13 05:38:07.670;0;2024-07-13 05:38:07.670;23.5;2024-07-13 05:38:07.670;0.596;2024-07-13 05:38:07.670;0.0
2024-07-13 05:38:36.718;403;2024-07-13 05:38:36.718;1150;2024-07-13 05:38:36.718;0;2024-07-13 05:38:36.718;23.5;2024-07-13 05:38:36.718;0.650;2024-07-13 05:38:36.718;0.0
2024-07-13 05:38:56.995;288;2024-07-13 05:38:56.995;871;2024-07-13 05:38:56.995;0;2024-07-13 05:38:56.995;23.4;2024-07-13 05:38:56.995;0.669;2024-07-13 05:38:56.995;0.0
2024-07-13 05:39:14.409;260;2024-07-13 05:39:14.409;772;2024-07-13 05:39:14.409;0;2024-07-13 05:39:14.409;23.5;2024-07-13 05:39:14.409;0.663;2024-07-13 05:39:14.409;0.0
2024-07-13 05:39:34.824;376;2024-07-13 05:39:34.824;1092;2024-07-13 05:39:34.824;0;2024-07-13 05:39:34.824;23.5;2024-07-13 05:39:34.824;0.656;2024-07-13 05:39:34.824;0.0
2024-07-13 05:39:58.641;195;2024-07-13 05:39:58.641;592;2024-07-13 05:39:58.641;0;2024-07-13 05:39:58.641;23.5;2024-07-13 05:39:58.641;0.671;2024-07-13 05:39:58.641;0.0
2024-07-13 05:40:19.105;285;2024-07-13 05:40:19.105;808;2024-07-13 05:40:19.105;0;2024-07-13 05:40:19.105;23.5;2024-07-13 05:40:19.105;0.647;2024-07-13 05:40:19.105;0.0
2024-07-13 05:40:39.365;196;2024-07-13 05:40:39.365;612;2024-07-13 05:40:39.365;0;2024-07-13 05:40:39.365;23.4;2024-07-13 05:40:39.365;0.680;2024-07-13 05:40:39.365;0.0
2024-07-13 05:40:57.575;98;2024-07-13 05:40:57.575;673;2024-07-13 05:40:57.575;0;2024-07-13 05:40:57.575;23.5;2024-07-13 05:40:57.575;0.854;2024-07-13 05:40:57.575;0.0
2024-07-13 05:41:30.093;317;2024-07-13 05:41:30.093;940;2024-07-13 05:41:30.093;0;2024-07-13 05:41:30.093;23.4;2024-07-13 05:41:30.093;0.663;2024-07-13 05:41:30.093;0.0
2024-07-13 05:42:00.792;250;2024-07-13 05:42:00.792;698;2024-07-13 05:42:00.792;0;2024-07-13 05:42:00.792;23.4;2024-07-13 05:42:00.792;0.642;2024-07-13 05:42:00.792;0.0
2024-07-13 05:42:19.253;300;2024-07-13 05:42:19.253;874;2024-07-13 05:42:19.253;0;2024-07-13 05:42:19.253;23.5;2024-07-13 05:42:19.253;0.657;2024-07-13 05:42:19.253;0.0
2024-07-13 05:42:41.001;226;2024-07-13 05:42:41.001;687;2024-07-13 05:42:41.001;0;2024-07-13 05:42:41.001;23.5;2024-07-13 05:42:41.001;0.671;2024-07-13 05:42:41.001;0.0
2024-07-13 05:42:58.771;32;2024-07-13 05:42:58.771;441;2024-07-13 05:42:58.771;0;2024-07-13 05:42:58.771;23.5;2024-07-13 05:42:58.771;0.927;2024-07-13 05:42:58.771;0.0
2024-07-13 05:43:15.218;295;2024-07-13 05:43:15.218;757;2024-07-13 05:43:15.218;0;2024-07-13 05:43:15.218;23.5;2024-07-13 05:43:15.218;0.610;2024-07-13 05:43:15.218;0.0
2024-07-13 05:43:36.709;421;2024-07-13 05:43:36.709;1213;2024-07-13 05:43:36.709;0;2024-07-13 05:43:36.709;23.4;2024-07-13 05:43:36.709;0.653;2024-07-13 05:43:36.709;0.0
2024-07-13 05:43:56.079;265;2024-07-13 05:43:56.079;798;2024-07-13 05:43:56.079;0;2024-07-13 05:43:56.079;23.5;2024-07-13 05:43:56.079;0.668;2024-07-13 05:43:56.079;0.0
2024-07-13 05:44:15.843;489;2024-07-13 05:44:15.843;1406;2024-07-13 05:44:15.843;0;2024-07-13 05:44:15.843;23.5;2024-07-13 05:44:15.843;0.652;2024-07-13 05:44:15.843;0.0
2024-07-13 05:46:50.552;250;2024-07-13 05:46:50.552;803;2024-07-13 05:46:50.552;0;2024-07-13 05:46:50.552;23.4;2024-07-13 05:46:50.552;0.689;2024-07-13 05:46:50.552;0.0
2024-07-13 05:47:12.006;232;2024-07-13 05:47:12.006;672;2024-07-13 05:47:12.006;0;2024-07-13 05:47:12.006;23.4;2024-07-13 05:47:12.006;0.655;2024-07-13 05:47:12.006;0.0
2024-07-13 05:48:06.172;167;2024-07-13 05:48:06.172;461;2024-07-13 05:48:06.172;0;2024-07-13 05:48:06.172;23.3;2024-07-13 05:48:06.172;0.638;2024-07-13 05:48:06.172;0.0
2024-07-13 05:49:00.491;304;2024-07-13 05:49:00.491;815;2024-07-13 05:49:00.491;0;2024-07-13 05:49:00.491;23.2;2024-07-13 05:49:00.491;0.627;2024-07-13 05:49:00.491;0.0
2024-07-13 05:49:42.792;212;2024-07-13 05:49:42.792;589;2024-07-13 05:49:42.792;0;2024-07-13 05:49:42.792;23.1;2024-07-13 05:49:42.792;0.640;2024-07-13 05:49:42.792;0.0
2024-07-13 05:50:09.353;255;2024-07-13 05:50:09.353;750;2024-07-13 05:50:09.353;0;2024-07-13 05:50:09.353;23.1;2024-07-13 05:50:09.353;0.660;2024-07-13 05:50:09.353;0.0
2024-07-13 05:50:29.812;189;2024-07-13 05:50:29.812;521;2024-07-13 05:50:29.812;0;2024-07-13 05:50:29.812;23.1;2024-07-13 05:50:29.812;0.637;2024-07-13 05:50:29.812;0.0
2024-07-13 05:50:56.079;119;2024-07-13 05:50:56.079;385;2024-07-13 05:50:56.079;0;2024-07-13 05:50:56.079;23.1;2024-07-13 05:50:56.079;0.691;2024-07-13 05:50:56.079;0.0
2024-07-13 05:51:19.477;260;2024-07-13 05:51:19.477;735;2024-07-13 05:51:19.477;0;2024-07-13 05:51:19.477;23.1;2024-07-13 05:51:19.477;0.646;2024-07-13 05:51:19.477;0.0
2024-07-13 05:51:42.975;199;2024-07-13 05:51:42.975;542;2024-07-13 05:51:42.975;0;2024-07-13 05:51:42.975;23.1;2024-07-13 05:51:42.975;0.633;2024-07-13 05:51:42.975;0.0
2024-07-13 05:52:11.979;282;2024-07-13 05:52:11.979;818;2024-07-13 05:52:11.979;0;2024-07-13 05:52:11.979;23.0;2024-07-13 05:52:11.979;0.655;2024-07-13 05:52:11.979;0.0
2024-07-13 05:52:42.485;158;2024-07-13 05:52:42.485;508;2024-07-13 05:52:42.485;0;2024-07-13 05:52:42.485;23.0;2024-07-13 05:52:42.485;0.689;2024-07-13 05:52:42.485;0.0
2024-07-13 05:53:04.976;282;2024-07-13 05:53:04.976;768;2024-07-13 05:53:04.976;0;2024-07-13 05:53:04.976;23.0;2024-07-13 05:53:04.976;0.633;2024-07-13 05:53:04.976;0.0
2024-07-13 05:53:31.050;234;2024-07-13 05:53:31.050;717;2024-07-13 05:53:31.050;0;2024-07-13 05:53:31.050;23.0;2024-07-13 05:53:31.050;0.674;2024-07-13 05:53:31.050;0.0
2024-07-13 05:53:56.516;403;2024-07-13 05:53:56.516;1149;2024-07-13 05:53:56.516;0;2024-07-13 05:53:56.516;23.0;2024-07-13 05:53:56.516;0.649;2024-07-13 05:53:56.516;0.0
