date,No. ,sample_id,temp,colony,leachate,koa_color,notes,species
7/12/2024,3,H10.2H,hot,10,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,16,H6.2L,hot,6,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,29,H3.2L,hot,3,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,42,H9.2H,hot,9,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,55,H9.2L,hot,9,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,94,H8.2H,hot,8,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,107,H3.2H,hot,3,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,120,H7.2H,hot,7,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,133,H5.2L,hot,5,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,146,H4.2H,hot,4,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,160,H4.2L,hot,4,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,173,H10.2L,hot,10,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,186,H7.2C,hot,7,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,199,H2.2L,hot,2,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,212,H1.2L,hot,1,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,225,H6.2C,hot,6,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,238,H6.2H,hot,6,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,251,H1.2H,hot,1,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,264,H2.2H,hot,2,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,292,H9.2C,hot,9,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,279,H5.2H,hot,5,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,305,H7.2L,hot,7,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,318,H2.2C,hot,2,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,331,H4.2C,hot,4,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,344,H5.2C,hot,5,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,357,H1.2C,hot,1,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,370,H3.2C,hot,3,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,383,H8.2L,hot,8,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,396,H8.2C,hot,8,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,422,H10.2C,hot,10,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,435,A10.2C,ambient,10,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,448,A10.2H,ambient,10,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,461,A9.2H,ambient,9,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,474,A2.2H,ambient,2,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,487,A1.2H,ambient,1,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,500,A10.2L,ambient,10,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,513,A7.2H,ambient,7,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,526,A3.2C,ambient,3,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,539,A1.2C,ambient,1,control,22,,Montipora capitata x Symbiodinium spp.
7/12/2024,552,A1.2L,ambient,1,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,565,A2.2L,ambient,2,low,24,,Montipora capitata x Symbiodinium spp.
7/12/2024,578,A5.2L,ambient,5,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,591,A8.2L,ambient,8,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,604,A6.2C,ambient,6,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,617,A6.2H,ambient,6,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,630,A5.2H,ambient,5,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,643,A6.2L,ambient,6,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,656,A5.2C,ambient,5,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,669,A4.2H,ambient,4,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,682,A4.2L,ambient,4,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,695,A2.2C,ambient,2,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,708,A9.2L,ambient,9,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,721,A3.2L,ambient,3,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,734,A3.2H,ambient,3,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,747,A7.2L,ambient,7,low,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,760,A8.2C,ambient,8,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,773,A7.2C,ambient,7,control,25,,Montipora capitata x Symbiodinium spp.
7/12/2024,786,A8.2H,ambient,8,high,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,799,A9.2C,ambient,9,control,26,,Montipora capitata x Symbiodinium spp.
7/12/2024,812,A4.2C,ambient,4,control,26,,Montipora capitata x Symbiodinium spp.
