"","Fo","Fm","FvFm","sample_id","temp","colony","leachate","species","days_of_exposure","treatment"
"1",226,665,0.66,"A7.2C","ambient",7,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"2",211,624,0.662,"A8.2H","ambient",8,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"3",267,721,0.63,"A9.2C","ambient",9,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"4",210,608,0.655,"A7.2L","ambient",7,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"5",416,1110,0.625,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"6",230,632,0.636,"A4.2C","ambient",4,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"7",322,991,0.675,"A3.2L","ambient",3,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"8",285,749,0.619,"A8.2C","ambient",8,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"9",314,879,0.643,"A9.2L","ambient",9,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"10",205,630,0.675,"A5.2C","ambient",5,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"11",169,549,0.692,"A4.2H","ambient",4,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"12",306,903,0.661,"A4.2L","ambient",4,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"13",245,788,0.689,"A6.2L","ambient",6,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"14",334,999,0.666,"A5.2L","ambient",5,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"15",363,899,0.596,"A2.2C","ambient",2,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"16",403,1150,0.65,"A2.2L","ambient",2,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"17",288,871,0.669,"A5.2H","ambient",5,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"18",260,772,0.663,"A1.2L","ambient",1,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"19",376,1092,0.656,"A8.2L","ambient",8,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"20",195,592,0.671,"A6.2C","ambient",6,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"21",285,808,0.647,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"22",196,612,0.68,"A7.2H","ambient",7,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"23",317,940,0.663,"A1.2C","ambient",1,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"24",250,698,0.642,"A3.2C","ambient",3,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"25",300,874,0.657,"A10.2L","ambient",10,"low","Montipora capitata x Symbiodinium spp.","0","ambient_low"
"26",226,687,0.671,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"27",295,757,0.61,"A1.2H","ambient",1,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"28",421,1213,0.653,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"29",265,798,0.668,"A2.2H","ambient",2,"high","Montipora capitata x Symbiodinium spp.","0","ambient_high"
"30",489,1406,0.652,"A10.2C","ambient",10,"control","Montipora capitata x Symbiodinium spp.","0","ambient_control"
"31",250,803,0.689,"H8.2C","hot",8,"control","Montipora capitata x Symbiodinium spp.","0","hot_control"
"32",232,672,0.655,"H5.2H","hot",5,"high","Montipora capitata x Symbiodinium spp.","0","hot_high"
"33",167,461,0.638,"H8.2L","hot",8,"low","Montipora capitata x Symbiodinium spp.","0","hot_low"
"34",304,815,0.627,"H9.2L","hot",9,"low","Montipora capitata x Symbiodinium spp.","0","hot_low"
"35",212,589,0.64,"H2.2C","hot",2,"control","Montipora capitata x Symbiodinium spp.","0","hot_control"
"36",255,750,0.66,"H5.2C","hot",5,"control","Montipora capitata x Symbiodinium spp.","0","hot_control"
"37",189,521,0.637,"H6.2H","hot",6,"high","Montipora capitata x Symbiodinium spp.","0","hot_high"
"38",119,385,0.691,"H2.2H","hot",2,"high","Montipora capitata x Symbiodinium spp.","0","hot_high"
"39",260,735,0.646,"H6.2C","hot",6,"control","Montipora capitata x Symbiodinium spp.","0","hot_control"
"40",199,542,0.633,"H1.2C","hot",1,"control","Montipora capitata x Symbiodinium spp.","0","hot_control"
"41",282,818,0.655,"H9.2H","hot",9,"high","Montipora capitata x Symbiodinium spp.","0","hot_high"
"42",158,508,0.689,"H1.2H","hot",1,"high","Montipora capitata x Symbiodinium spp.","0","hot_high"
"43",282,768,0.633,"H1.2L","hot",1,"low","Montipora capitata x Symbiodinium spp.","0","hot_low"
"44",234,717,0.674,"H6.2L","hot",6,"low","Montipora capitata x Symbiodinium spp.","0","hot_low"
"45",403,1149,0.649,"H3.2H","hot",3,"high","Montipora capitata x Symbiodinium spp.","0","hot_high"
