"","Date","Time...2","Time...3","Type","No.","1:PAR","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","colony","leachate","species","note"
"1","24-07-13",05:29:40,05:29:40,"FO",1,0,226,665,0.66,"A7.2C","ambient",7,"control","Montipora capitata x Symbiodinium spp.",NA
"2","24-07-13",05:30:50,05:30:50,"FO",2,0,211,624,0.662,"A8.2H","ambient",8,"high","Montipora capitata x Symbiodinium spp.",NA
"3","24-07-13",05:31:41,05:31:41,"FO",3,0,267,721,0.63,"A9.2C","ambient",9,"control","Montipora capitata x Symbiodinium spp.",NA
"4","24-07-13",05:32:17,05:32:17,"FO",4,0,210,608,0.655,"A7.2L","ambient",7,"low","Montipora capitata x Symbiodinium spp.",NA
"5","24-07-13",05:32:40,05:32:40,"FO",5,0,416,1110,0.625,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.",NA
"6","24-07-13",05:33:55,05:33:55,"FO",6,0,230,632,0.636,"A4.2C","ambient",4,"control","Montipora capitata x Symbiodinium spp.",NA
"7","24-07-13",05:35:02,05:35:02,"FO",7,0,322,991,0.675,"A3.2L","ambient",3,"low","Montipora capitata x Symbiodinium spp.",NA
"8","24-07-13",05:35:27,05:35:27,"FO",8,0,285,749,0.619,"A8.2C","ambient",8,"control","Montipora capitata x Symbiodinium spp.",NA
"9","24-07-13",05:35:48,05:35:48,"FO",9,0,314,879,0.643,"A9.2L","ambient",9,"low","Montipora capitata x Symbiodinium spp.",NA
"10","24-07-13",05:36:09,05:36:09,"FO",10,0,205,630,0.675,"A5.2C","ambient",5,"control","Montipora capitata x Symbiodinium spp.",NA
"11","24-07-13",05:36:31,05:36:31,"FO",11,0,169,549,0.692,"A4.2H","ambient",4,"high","Montipora capitata x Symbiodinium spp.",NA
"12","24-07-13",05:36:55,05:36:55,"FO",12,0,306,903,0.661,"A4.2L","ambient",4,"low","Montipora capitata x Symbiodinium spp.",NA
"13","24-07-13",05:37:15,05:37:15,"FO",13,0,245,788,0.689,"A6.2L","ambient",6,"low","Montipora capitata x Symbiodinium spp.",NA
"14","24-07-13",05:37:50,05:37:50,"FO",14,0,334,999,0.666,"A5.2L","ambient",5,"low","Montipora capitata x Symbiodinium spp.",NA
"15","24-07-13",05:38:08,05:38:08,"FO",15,0,363,899,0.596,"A2.2C","ambient",2,"control","Montipora capitata x Symbiodinium spp.",NA
"16","24-07-13",05:38:37,05:38:37,"FO",16,0,403,1150,0.65,"A2.2L","ambient",2,"low","Montipora capitata x Symbiodinium spp.",NA
"17","24-07-13",05:38:57,05:38:57,"FO",17,0,288,871,0.669,"A5.2H","ambient",5,"high","Montipora capitata x Symbiodinium spp.",NA
"18","24-07-13",05:39:14,05:39:14,"FO",18,0,260,772,0.663,"A1.2L","ambient",1,"low","Montipora capitata x Symbiodinium spp.",NA
"19","24-07-13",05:39:35,05:39:35,"FO",19,0,376,1092,0.656,"A8.2L","ambient",8,"low","Montipora capitata x Symbiodinium spp.",NA
"20","24-07-13",05:39:59,05:39:59,"FO",20,0,195,592,0.671,"A6.2C","ambient",6,"control","Montipora capitata x Symbiodinium spp.",NA
"21","24-07-13",05:40:19,05:40:19,"FO",21,0,285,808,0.647,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.",NA
"22","24-07-13",05:40:39,05:40:39,"FO",22,0,196,612,0.68,"A7.2H","ambient",7,"high","Montipora capitata x Symbiodinium spp.",NA
"23","24-07-13",05:41:30,05:41:30,"FO",24,0,317,940,0.663,"A1.2C","ambient",1,"control","Montipora capitata x Symbiodinium spp.",NA
"24","24-07-13",05:42:01,05:42:01,"FO",25,0,250,698,0.642,"A3.2C","ambient",3,"control","Montipora capitata x Symbiodinium spp.",NA
"25","24-07-13",05:42:19,05:42:19,"FO",26,0,300,874,0.657,"A10.2L","ambient",10,"low","Montipora capitata x Symbiodinium spp.",NA
"26","24-07-13",05:42:41,05:42:41,"FO",27,0,226,687,0.671,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.",NA
"27","24-07-13",05:43:15,05:43:15,"FO",29,0,295,757,0.61,"A1.2H","ambient",1,"high","Montipora capitata x Symbiodinium spp.",NA
"28","24-07-13",05:43:37,05:43:37,"FO",30,0,421,1213,0.653,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.",NA
"29","24-07-13",05:43:56,05:43:56,"FO",31,0,265,798,0.668,"A2.2H","ambient",2,"high","Montipora capitata x Symbiodinium spp.",NA
