"","Date","Time","Type","sample_id","colony","temp","koa_color","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"1","24-08-12",09:35:09,"REG2","H4.2L",4,"hot","26","low","#1: alpha: 0.115, ETRm: 111.005, Ik: 969.444   (Jassby and Platt 1976)",0.115,111.005,969.444,0,"hot_low"
"2","24-08-12",09:38:50,"REG2","H10.2L",10,"hot","26","low","#1: alpha: 0.108, ETRm: 84.561, Ik: 785.758   (Jassby and Platt 1976)",0.108,84.561,785.758,0,"hot_low"
"3","24-08-12",09:43:54,"REG2","H7.2C",7,"hot","26","control","#1: alpha: 0.115, ETRm: 96.039, Ik: 834.035   (Jassby and Platt 1976)",0.115,96.039,834.035,0,"hot_control"
"4","24-08-12",09:47:44,"REG2","H2.2L",2,"hot","26","low","#1: alpha: 0.105, ETRm: 76.420, Ik: 729.565   (Jassby and Platt 1976)",0.105,76.42,729.565,0,"hot_low"
"5","24-08-12",09:52:01,"REG2","H1.2L",1,"hot","26","low","#1: alpha: 0.120, ETRm: 95.997, Ik: 802.777   (Jassby and Platt 1976)",0.12,95.997,802.777,0,"hot_low"
"6","24-08-12",09:55:43,"REG2","H6.2C",6,"hot","26","control","#1: alpha: 0.099, ETRm: 109.384, Ik: 1104.740   (Jassby and Platt 1976)",0.099,109.384,1104.74,0,"hot_control"
"7","24-08-12",09:59:38,"REG2","H6.2H",6,"hot","26","high","#1: alpha: 0.105, ETRm: 92.206, Ik: 880.296   (Jassby and Platt 1976)",0.105,92.206,880.296,0,"hot_high"
"8","24-08-12",10:03:38,"REG2","H1.2H",1,"hot","26","high","#1: alpha: 0.115, ETRm: 99.000, Ik: 858.402   (Jassby and Platt 1976)",0.115,99,858.402,0,"hot_high"
"9","24-08-12",10:08:17,"REG2","H2.2H",2,"hot","26","high","#1: alpha: 0.105, ETRm: 94.890, Ik: 903.312   (Jassby and Platt 1976)",0.105,94.89,903.312,0,"hot_high"
"10","24-08-12",10:14:26,"REG2","H5.2H",5,"hot","26","high","#1: alpha: 0.102, ETRm: 85.976, Ik: 842.905   (Jassby and Platt 1976)",0.102,85.976,842.905,0,"hot_high"
"11","24-08-12",10:18:20,"REG2","H9.2C",9,"hot","26","control","#1: alpha: 0.103, ETRm: 83.625, Ik: 810.629   (Jassby and Platt 1976)",0.103,83.625,810.629,0,"hot_control"
"12","24-08-12",10:23:04,"REG2","H7.2L",7,"hot","26","low","#1: alpha: 0.110, ETRm: 103.454, Ik: 940.375   (Jassby and Platt 1976)",0.11,103.454,940.375,0,"hot_low"
"13","24-08-12",10:27:32,"REG2","H2.2C",2,"hot","26","control","#1: alpha: 0.099, ETRm: 106.709, Ik: 1079.796   (Jassby and Platt 1976)",0.099,106.709,1079.796,0,"hot_control"
"14","24-08-12",10:31:52,"REG2","H4.2C",4,"hot","26","control","#1: alpha: 0.097, ETRm: 96.835, Ik: 1001.347   (Jassby and Platt 1976)",0.097,96.835,1001.347,0,"hot_control"
"15","24-08-12",10:35:37,"REG2","H5.2C",5,"hot","26","control","#1: alpha: 0.091, ETRm: 106.032, Ik: 1163.355   (Jassby and Platt 1976)",0.091,106.032,1163.355,0,"hot_control"
"16","24-08-12",10:39:52,"REG2","H1.2C",1,"hot","26","control","#1: alpha: 0.105, ETRm: 66.312, Ik: 630.377   (Jassby and Platt 1976)",0.105,66.312,630.377,0,"hot_control"
"17","24-08-12",10:43:25,"REG2","H3.2C",3,"hot","26","control","#1: alpha: 0.100, ETRm: 91.746, Ik: 913.833   (Jassby and Platt 1976)",0.1,91.746,913.833,0,"hot_control"
"18","24-08-12",10:48:05,"REG2","H8.2L",8,"hot","26","low","#1: alpha: 0.102, ETRm: 105.411, Ik: 1034.913   (Jassby and Platt 1976)",0.102,105.411,1034.913,0,"hot_low"
"19","24-08-12",10:51:56,"REG2","H8.2C",8,"hot","26","control","#1: alpha: 0.108, ETRm: 83.400, Ik: 774.504   (Jassby and Platt 1976)",0.108,83.4,774.504,0,"hot_control"
"20","24-08-12",11:02:29,"REG2","H10.2C",10,"hot","26","control","#1: alpha: 0.067, ETRm: 38.667, Ik: 573.587   (Jassby and Platt 1976)",0.067,38.667,573.587,0,"hot_control"
"21","24-08-12",11:07:37,"REG2","A10.2C",10,"ambient","26","control","#1: alpha: 0.106, ETRm: 70.864, Ik: 667.671   (Jassby and Platt 1976)",0.106,70.864,667.671,0,"ambient_control"
"22","24-08-12",11:12:59,"REG2","A10.2H",10,"ambient","26","high","#1: alpha: 0.100, ETRm: 116.727, Ik: 1168.374   (Jassby and Platt 1976)",0.1,116.727,1168.374,0,"ambient_high"
"23","24-08-12",11:17:20,"REG2","A9.2H",9,"ambient","26","high","#1: alpha: 0.118, ETRm: 54.167, Ik: 459.288   (Jassby and Platt 1976)",0.118,54.167,459.288,0,"ambient_high"
"24","24-08-12",11:22:01,"REG2","A2.2H",2,"ambient","26","high","#1: alpha: 0.082, ETRm: 99.159, Ik: 1203.328   (Jassby and Platt 1976)",0.082,99.159,1203.328,0,"ambient_high"
"25","24-08-12",11:27:10,"REG2","A1.2H",1,"ambient","26","high","#1: alpha: 0.085, ETRm: 89.885, Ik: 1052.709   (Jassby and Platt 1976)",0.085,89.885,1052.709,0,"ambient_high"
"26","24-08-12",11:32:46,"REG2","A10.2L",10,"ambient","26","low","#1: alpha: 0.077, ETRm: 80.299, Ik: 1040.080   (Jassby and Platt 1976)",0.077,80.299,1040.08,0,"ambient_low"
"27","24-08-12",11:37:09,"REG2","A7.2H",7,"ambient","26","high","#1: alpha: 0.103, ETRm: 113.965, Ik: 1107.716   (Jassby and Platt 1976)",0.103,113.965,1107.716,0,"ambient_high"
"28","24-08-12",11:41:24,"REG2","A3.2C",3,"ambient","26","control","#1: alpha: 0.102, ETRm: 98.040, Ik: 961.460   (Jassby and Platt 1976)",0.102,98.04,961.46,0,"ambient_control"
"29","24-08-12",11:46:08,"REG2","A1.2C",1,"ambient","22","control","#1: alpha: 0.091, ETRm: 87.622, Ik: 960.800   (Jassby and Platt 1976)",0.091,87.622,960.8,0,"ambient_control"
"30","24-08-12",11:50:11,"REG2","A1.2L",1,"ambient","26","low","#1: alpha: 0.098, ETRm: 89.456, Ik: 913.626   (Jassby and Platt 1976)",0.098,89.456,913.626,0,"ambient_low"
"31","24-08-12",11:54:11,"REG2","A2.2L",2,"ambient","24","low","#1: alpha: 0.097, ETRm: 65.317, Ik: 672.439   (Jassby and Platt 1976)",0.097,65.317,672.439,0,"ambient_low"
"32","24-08-12",11:58:22,"REG2","A5.2L",5,"ambient","26","low","#1: alpha: 0.094, ETRm: 81.638, Ik: 867.231   (Jassby and Platt 1976)",0.094,81.638,867.231,0,"ambient_low"
"33","24-08-12",12:02:34,"REG2","A8.2L",8,"ambient","26","low","#1: alpha: 0.101, ETRm: 104.289, Ik: 1033.933   (Jassby and Platt 1976)",0.101,104.289,1033.933,0,"ambient_low"
"34","24-08-12",12:06:19,"REG2","A6.2C",6,"ambient","26","control","#1: alpha: 0.090, ETRm: 93.985, Ik: 1049.376   (Jassby and Platt 1976)",0.09,93.985,1049.376,0,"ambient_control"
"35","24-08-12",12:10:25,"REG2","A6.2H",6,"ambient","26","high","#1: alpha: 0.098, ETRm: 59.079, Ik: 600.757   (Jassby and Platt 1976)",0.098,59.079,600.757,0,"ambient_high"
"36","24-08-12",12:14:03,"REG2","A5.2H",5,"ambient","26","high","#1: alpha: 0.112, ETRm: 74.600, Ik: 668.921   (Jassby and Platt 1976)",0.112,74.6,668.921,0,"ambient_high"
"37","24-08-12",12:18:14,"REG2","A6.2L",6,"ambient","26","low","#1: alpha: 0.084, ETRm: 73.278, Ik: 872.666   (Jassby and Platt 1976)",0.084,73.278,872.666,0,"ambient_low"
"38","24-08-12",12:21:47,"REG2","A5.2C",5,"ambient","26","control","#1: alpha: 0.099, ETRm: 72.989, Ik: 739.164   (Jassby and Platt 1976)",0.099,72.989,739.164,0,"ambient_control"
"39","24-08-12",12:25:53,"REG2","A4.2H",4,"ambient","26","high","#1: alpha: 0.092, ETRm: 129.176, Ik: 1404.998   (Jassby and Platt 1976)",0.092,129.176,1404.998,0,"ambient_high"
"40","24-08-12",12:29:48,"REG2","A4.2L",4,"ambient","26","low","#1: alpha: 0.088, ETRm: 68.889, Ik: 786.760   (Jassby and Platt 1976)",0.088,68.889,786.76,0,"ambient_low"
"41","24-08-12",12:33:53,"REG2","A2.2C",2,"ambient","26","control","#1: alpha: 0.114, ETRm: 54.448, Ik: 477.967   (Jassby and Platt 1976)",0.114,54.448,477.967,0,"ambient_control"
"42","24-08-12",12:38:01,"REG2","A9.2L",9,"ambient","26","low","#1: alpha: 0.101, ETRm: 68.895, Ik: 681.367   (Jassby and Platt 1976)",0.101,68.895,681.367,0,"ambient_low"
"43","24-08-12",12:42:06,"REG2","A3.2L",3,"ambient","26","low","#1: alpha: 0.081, ETRm: 57.897, Ik: 711.520   (Jassby and Platt 1976)",0.081,57.897,711.52,0,"ambient_low"
"44","24-08-12",12:45:45,"REG2","A3.2H",3,"ambient","26","high","#1: alpha: 0.099, ETRm: 103.204, Ik: 1046.237   (Jassby and Platt 1976)",0.099,103.204,1046.237,0,"ambient_high"
