"","Date","Time","Type","sample_id","colony","temp","koa_color","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"1","24-08-16",08:35:28,"REG2","H9.2H",9,"hot","26/22/77","high","#1: alpha: 0.058, ETRm: 39.139, Ik: 677.203   (Jassby and Platt 1976)",0.058,39.139,677.203,3,"hot_high"
"2","24-08-16",08:40:24,"REG2","H6.2H",6,"hot","22","high","#1: alpha: 0.076, ETRm: 56.145, Ik: 741.846   (Jassby and Platt 1976)",0.076,56.145,741.846,3,"hot_high"
"3","24-08-16",08:43:51,"REG2","H5.2H",5,"hot","26","high","#1: alpha: 0.082, ETRm: 34.920, Ik: 426.036   (Jassby and Platt 1976)",0.082,34.92,426.036,3,"hot_high"
"4","24-08-16",08:47:52,"REG2","H3.2H",3,"hot","22","high","#1: alpha: 0.081, ETRm: 47.021, Ik: 583.743   (Jassby and Platt 1976)",0.081,47.021,583.743,3,"hot_high"
"5","24-08-16",08:51:38,"REG2","H2.2H",2,"hot","22","high","#1: alpha: 0.087, ETRm: 39.337, Ik: 449.617   (Jassby and Platt 1976)",0.087,39.337,449.617,3,"hot_high"
"6","24-08-16",08:59:36,"REG2","A3.2C",3,"ambient","26","control","#1: alpha: 0.075, ETRm: 32.903, Ik: 439.024   (Jassby and Platt 1976)",0.075,32.903,439.024,3,"ambient_control"
"7","24-08-16",09:03:09,"REG2","A5.2C",5,"ambient","26","control","#1: alpha: 0.083, ETRm: 51.023, Ik: 618.108   (Jassby and Platt 1976)",0.083,51.023,618.108,3,"ambient_control"
"8","24-08-16",09:06:53,"REG2","A8.2C",8,"ambient","22","control","#1: alpha: 0.073, ETRm: 57.874, Ik: 792.074   (Jassby and Platt 1976)",0.073,57.874,792.074,3,"ambient_control"
"9","24-08-16",09:10:58,"REG2","A6.2C",6,"ambient","22","control","#1: alpha: 0.054, ETRm: 42.515, Ik: 781.789   (Jassby and Platt 1976)",0.054,42.515,781.789,3,"ambient_control"
"10","24-08-16",09:15:06,"REG2","A4.2C",4,"ambient","22","control","#1: alpha: 0.048, ETRm: 36.626, Ik: 758.427   (Jassby and Platt 1976)",0.048,36.626,758.427,3,"ambient_control"
"11","24-08-16",09:25:21,"REG2","H8.2L",8,"hot","26","low","#1: alpha: 0.091, ETRm: 50.924, Ik: 557.364   (Jassby and Platt 1976)",0.091,50.924,557.364,3,"hot_low"
"12","24-08-16",09:31:42,"REG2","H9.2L",9,"hot","22","low","#1: alpha: 0.069, ETRm: 35.837, Ik: 517.557   (Jassby and Platt 1976)",0.069,35.837,517.557,3,"hot_low"
"13","24-08-16",09:35:42,"REG2","H3.2L",3,"hot","22/26","low","#1: alpha: 0.058, ETRm: 43.646, Ik: 751.320   (Jassby and Platt 1976)",0.058,43.646,751.32,3,"hot_low"
"14","24-08-16",09:39:24,"REG2","H5.2L",5,"hot","26","low","#1: alpha: 0.066, ETRm: 38.334, Ik: 582.277   (Jassby and Platt 1976)",0.066,38.334,582.277,3,"hot_low"
"15","24-08-16",09:43:40,"REG2","H2.2L",2,"hot","22","low","#1: alpha: 0.074, ETRm: 45.665, Ik: 617.049   (Jassby and Platt 1976)",0.074,45.665,617.049,3,"hot_low"
"16","24-08-16",09:51:09,"REG2","A2.2H",2,"ambient","22","high","#1: alpha: 0.101, ETRm: 43.090, Ik: 424.563   (Jassby and Platt 1976)",0.101,43.09,424.563,3,"ambient_high"
"17","24-08-16",09:54:54,"REG2","A1.2H",1,"ambient","22","high","#1: alpha: 0.099, ETRm: 45.616, Ik: 462.357   (Jassby and Platt 1976)",0.099,45.616,462.357,3,"ambient_high"
"18","24-08-16",09:58:20,"REG2","A5.2H",5,"ambient","26","high","#1: alpha: 0.101, ETRm: 73.848, Ik: 733.976   (Jassby and Platt 1976)",0.101,73.848,733.976,3,"ambient_high"
"19","24-08-16",10:02:00,"REG2","A8.2H",8,"ambient","22","high","#1: alpha: 0.109, ETRm: 44.701, Ik: 410.514   (Jassby and Platt 1976)",0.109,44.701,410.514,3,"ambient_high"
"20","24-08-16",10:05:30,"REG2","A4.2H",4,"ambient","22","high","#1: alpha: 0.102, ETRm: 53.322, Ik: 523.601   (Jassby and Platt 1976)",0.102,53.322,523.601,3,"ambient_high"
"21","24-08-16",10:16:16,"REG2","H10.2C",10,"hot","22","control","#1: alpha: 0.088, ETRm: 44.080, Ik: 502.155   (Jassby and Platt 1976)",0.088,44.08,502.155,3,"hot_control"
"22","24-08-16",10:20:09,"REG2","H8.2C",8,"hot","26","control","#1: alpha: 0.098, ETRm: 46.760, Ik: 477.426   (Jassby and Platt 1976)",0.098,46.76,477.426,3,"hot_control"
"23","24-08-16",10:23:40,"REG2","H2.2C",2,"hot","26","control","#1: alpha: 0.097, ETRm: 52.017, Ik: 535.105   (Jassby and Platt 1976)",0.097,52.017,535.105,3,"hot_control"
"24","24-08-16",10:27:25,"REG2","H1.2C",1,"hot","22","control","#1: alpha: 0.077, ETRm: 43.888, Ik: 572.577   (Jassby and Platt 1976)",0.077,43.888,572.577,3,"hot_control"
"25","24-08-16",10:31:07,"REG2","H3.2C",3,"hot","26","control","#1: alpha: 0.070, ETRm: 45.958, Ik: 652.010   (Jassby and Platt 1976)",0.07,45.958,652.01,3,"hot_control"
"26","24-08-16",10:39:07,"REG2","A7.2L",7,"ambient","26","low","#1: alpha: 0.072, ETRm: 73.744, Ik: 1027.182   (Jassby and Platt 1976)",0.072,73.744,1027.182,3,"ambient_low"
"27","24-08-16",10:43:56,"REG2","A2.2L",2,"ambient","22/26","low","#1: alpha: 0.067, ETRm: 42.394, Ik: 629.609   (Jassby and Platt 1976)",0.067,42.394,629.609,3,"ambient_low"
"28","24-08-16",10:48:06,"REG2","A1.2L",1,"ambient","22/26","low","#1: alpha: 0.067, ETRm: 63.372, Ik: 945.008   (Jassby and Platt 1976)",0.067,63.372,945.008,3,"ambient_low"
"29","24-08-16",10:51:35,"REG2","A5.2L",5,"ambient","26","low","#1: alpha: 0.060, ETRm: 38.560, Ik: 642.418   (Jassby and Platt 1976)",0.06,38.56,642.418,3,"ambient_low"
"30","24-08-16",10:56:02,"REG2","A8.2L",8,"ambient","26","low","#1: alpha: 0.059, ETRm: 44.659, Ik: 763.015   (Jassby and Platt 1976)",0.059,44.659,763.015,3,"ambient_low"
"31","24-08-16",11:10:17,"REG2","H5.2C",5,"hot","26","control","#1: alpha: 0.055, ETRm: 42.471, Ik: 770.909   (Jassby and Platt 1976)",0.055,42.471,770.909,3,"hot_control"
"32","24-08-16",11:14:01,"REG2","H4.2C",4,"hot","26","control","#1: alpha: 0.052, ETRm: 33.975, Ik: 652.889   (Jassby and Platt 1976)",0.052,33.975,652.889,3,"hot_control"
"33","24-08-16",11:18:16,"REG2","H9.2C",9,"hot","26/22","control","#1: alpha: 0.045, ETRm: 56.873, Ik: 1263.602   (Jassby and Platt 1976)",0.045,56.873,1263.602,3,"hot_control"
"34","24-08-16",11:21:59,"REG2","H7.2C",7,"hot","26","control","#1: alpha: 0.038, ETRm: 33.144, Ik: 868.581   (Jassby and Platt 1976)",0.038,33.144,868.581,3,"hot_control"
"35","24-08-16",11:25:39,"REG2","H6.2C",6,"hot","26","control","#1: alpha: 0.062, ETRm: 62.207, Ik: 996.725   (Jassby and Platt 1976)",0.062,62.207,996.725,3,"hot_control"
"36","24-08-16",11:33:38,"REG2","A10.2L",10,"ambient","22","low","#1: alpha: 0.057, ETRm: 28.718, Ik: 504.009   (Jassby and Platt 1976)",0.057,28.718,504.009,3,"ambient_low"
"37","24-08-16",11:37:17,"REG2","A9.2L",9,"ambient","26","low","#1: alpha: 0.054, ETRm: 36.903, Ik: 686.187   (Jassby and Platt 1976)",0.054,36.903,686.187,3,"ambient_low"
"38","24-08-16",11:40:38,"REG2","A4.2L",4,"ambient","26","low","#1: alpha: 0.044, ETRm: 57.160, Ik: 1297.513   (Jassby and Platt 1976)",0.044,57.16,1297.513,3,"ambient_low"
"39","24-08-16",11:44:19,"REG2","A3.2L",3,"ambient","26","low","#1: alpha: 0.048, ETRm: 33.370, Ik: 688.318   (Jassby and Platt 1976)",0.048,33.37,688.318,3,"ambient_low"
"40","24-08-16",11:48:10,"REG2","A6.2L",6,"ambient","22","low","#1: alpha: 0.053, ETRm: 39.865, Ik: 756.342   (Jassby and Platt 1976)",0.053,39.865,756.342,3,"ambient_low"
"41","24-08-16",12:01:06,"REG2","H4.2L",4,"hot","26","low","#1: alpha: 0.072, ETRm: 54.420, Ik: 754.593   (Jassby and Platt 1976)",0.072,54.42,754.593,3,"hot_low"
"42","24-08-16",12:04:48,"REG2","H10.2L",10,"hot","22","low","#1: alpha: 0.052, ETRm: 27.252, Ik: 521.063   (Jassby and Platt 1976)",0.052,27.252,521.063,3,"hot_low"
"43","24-08-16",12:08:15,"REG2","H1.2L",1,"hot","26","low","#1: alpha: 0.087, ETRm: 66.252, Ik: 759.678   (Jassby and Platt 1976)",0.087,66.252,759.678,3,"hot_low"
"44","24-08-16",12:11:56,"REG2","H6.2L",6,"hot","26","low","#1: alpha: 0.064, ETRm: 43.564, Ik: 682.498   (Jassby and Platt 1976)",0.064,43.564,682.498,3,"hot_low"
"45","24-08-16",12:15:26,"REG2","H7.2L",7,"hot","26","low","#1: alpha: 0.072, ETRm: 78.873, Ik: 1096.017   (Jassby and Platt 1976)",0.072,78.873,1096.017,3,"hot_low"
"46","24-08-16",12:22:53,"REG2","A9.2H",9,"ambient","26","high","#1: alpha: 0.068, ETRm: 47.044, Ik: 694.052   (Jassby and Platt 1976)",0.068,47.044,694.052,3,"ambient_high"
"47","24-08-16",12:26:32,"REG2","A7.2H",7,"ambient","26","high","#1: alpha: 0.074, ETRm: 58.293, Ik: 786.233   (Jassby and Platt 1976)",0.074,58.293,786.233,3,"ambient_high"
"48","24-08-16",12:30:49,"REG2","A3.2H",3,"ambient","26","high","#1: alpha: 0.051, ETRm: 33.493, Ik: 661.889   (Jassby and Platt 1976)",0.051,33.493,661.889,3,"ambient_high"
"49","24-08-16",12:34:32,"REG2","A6.2H",6,"ambient","22","high","#1: alpha: 0.069, ETRm: 46.644, Ik: 676.298   (Jassby and Platt 1976)",0.069,46.644,676.298,3,"ambient_high"
"50","24-08-16",12:38:06,"REG2","A10.2H",10,"ambient","26/22","high","#1: alpha: 0.065, ETRm: 30.944, Ik: 476.072   (Jassby and Platt 1976)",0.065,30.944,476.072,3,"ambient_high"
"51","24-08-16",12:49:18,"REG2","H7.2H",7,"hot","22","high","#1: alpha: 0.081, ETRm: 40.621, Ik: 500.950   (Jassby and Platt 1976)",0.081,40.621,500.95,3,"hot_high"
"52","24-08-16",12:53:01,"REG2","H10.2H",10,"hot","26","high","#1: alpha: 0.041, ETRm: 25.114, Ik: 607.598   (Jassby and Platt 1976)",0.041,25.114,607.598,3,"hot_high"
"53","24-08-16",12:56:59,"REG2","H4.2H",4,"hot","26","high","#1: alpha: 0.041, ETRm: 29.130, Ik: 711.658   (Jassby and Platt 1976)",0.041,29.13,711.658,3,"hot_high"
"54","24-08-16",13:01:00,"REG2","H8.2H",8,"hot","26","high","#1: alpha: 0.052, ETRm: 48.079, Ik: 924.563   (Jassby and Platt 1976)",0.052,48.079,924.563,3,"hot_high"
"55","24-08-16",13:11:37,"REG2","H1.2H",1,"hot","26","high","#1: alpha: 0.058, ETRm: 40.338, Ik: 693.606   (Jassby and Platt 1976)",0.058,40.338,693.606,3,"hot_high"
"56","24-08-16",13:18:00,"REG2","A7.2C",7,"ambient","26","control","#1: alpha: 0.096, ETRm: 74.136, Ik: 772.630   (Jassby and Platt 1976)",0.096,74.136,772.63,3,"ambient_control"
"57","24-08-16",13:21:22,"REG2","A9.2C",9,"ambient","22","control","#1: alpha: 0.045, ETRm: 31.696, Ik: 703.923   (Jassby and Platt 1976)",0.045,31.696,703.923,3,"ambient_control"
"58","24-08-16",13:25:01,"REG2","A2.2C",2,"ambient","22","control","#1: alpha: 0.051, ETRm: 26.304, Ik: 514.570   (Jassby and Platt 1976)",0.051,26.304,514.57,3,"ambient_control"
"59","24-08-16",13:28:35,"REG2","A10.2C",10,"ambient","22","control","#1: alpha: 0.054, ETRm: 25.083, Ik: 464.508   (Jassby and Platt 1976)",0.054,25.083,464.508,3,"ambient_control"
"60","24-08-16",13:32:40,"REG2","A1.2C",1,"ambient","22","control","#1: alpha: 0.053, ETRm: 26.541, Ik: 498.420   (Jassby and Platt 1976)",0.053,26.541,498.42,3,"ambient_control"
