Date,Time,Type,No.,1:PAR,1:Fo,1:Fm,1:Fv/Fm,sample_id,temp,colony,leachate,species,note
24-07-15,20:15:37.889,FO,1,0,304,915,0.668,H1.2C,hot,1,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:16:44.772,FO,2,0,828,2182,0.621,H10.2C,hot,10,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:17:14.367,FO,3,0,520,1630,0.681,H2.2C,hot,2,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:17:46.991,FO,4,0,858,2441,0.649,H3.2C,hot,3,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:18:24.149,FO,5,0,847,2276,0.628,H8.2C,hot,8,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:21:17.453,FO,6,0,336,1029,0.673,H5.2H,hot,5,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:21:46.408,FO,7,0,563,1664,0.662,H6.2H,hot,6,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:22:09.297,FO,8,0,641,1816,0.647,H2.2H,hot,2,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:22:41.474,FO,9,0,761,1974,0.614,H9.2H,hot,9,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:23:08.650,FO,10,0,803,2269,0.646,H3.2H,hot,3,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:23:44.533,FO,11,0,591,1804,0.672,H4.2L,hot,4,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:24:09.143,FO,12,0,573,1577,0.637,H6.2L,hot,6,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:24:39.882,FO,13,0,497,1416,0.649,H10.2L,hot,10,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:25:21.196,FO,14,0,417,1253,0.667,H1.2L,hot,1,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:26:01.963,FO,15,0,183,491,0.627,H7.2L,hot,7,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:26:53.448,FO,16,0,822,2354,0.651,A9.2C,ambient,9,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:27:11.773,FO,17,0,490,1468,0.666,A10.2C,ambient,10,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:27:32.225,FO,18,0,747,2128,0.649,A2.2C,ambient,2,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:27:52.435,FO,19,0,461,1369,0.663,A7.2C,ambient,7,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:28:12.187,FO,20,0,750,2238,0.665,A1.2C,ambient,1,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:29:04.922,FO,21,0,879,2352,0.626,A3.2L,ambient,3,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:29:27.864,FO,22,0,850,2203,0.614,A9.2L,ambient,9,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:29:58.754,FO,23,0,696,1822,0.618,A6.2L,ambient,6,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:30:22.830,FO,24,0,472,1315,0.641,A4.2L,ambient,4,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:30:46.115,FO,25,0,240,694,0.654,A10.2L,ambient,10,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:31:32.837,FO,26,0,261,727,0.641,A8.2H,ambient,8,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:31:53.146,FO,27,0,292,897,0.674,A5.2H,ambient,5,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:32:27.352,FO,28,0,692,2080,0.667,A4.2H,ambient,4,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:32:47.485,FO,29,0,930,2536,0.633,A1.2H,ambient,1,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:33:20.879,FO,30,0,712,2099,0.661,A2.2H,ambient,2,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:36:03.486,FO,31,0,537,1426,0.623,H7.2C,hot,7,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:36:28.511,FO,32,0,322,926,0.652,H6.2C,hot,6,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:36:51.949,FO,33,0,493,1303,0.622,H9.2C,hot,9,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:37:16.127,FO,34,0,620,1794,0.654,H4.2C,hot,4,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:37:36.833,FO,35,0,462,1351,0.658,H5.2C,hot,5,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:38:32.298,FO,36,0,538,1424,0.622,H8.2H,hot,8,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:39:01.242,FO,37,0,895,2190,0.591,H10.2H,hot,10,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:39:36.036,FO,38,0,359,1004,0.642,H4.2H,hot,4,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:39:58.640,FO,39,0,440,2084,0.789,H1.2H,hot,1,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:40:21.332,FO,40,0,368,1013,0.637,H7.2H,hot,7,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:41:28.354,FO,41,0,269,790,0.659,H9.2L,hot,9,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:41:49.552,FO,42,0,608,1648,0.631,H2.2L,hot,2,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:42:16.608,FO,43,0,477,1390,0.657,H5.2L,hot,5,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:42:38.721,FO,44,0,623,1753,0.645,H3.2L,hot,3,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:43:13.466,FO,45,0,411,1210,0.660,H8.2L,hot,8,low,Montipora capitata x Symbiodinium spp.,new glue
24-07-15,20:44:27.009,FO,46,0,327,875,0.626,A5.2L,ambient,5,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:44:47.453,FO,47,0,265,759,0.651,A7.2L,ambient,7,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:45:17.003,FO,48,0,504,1399,0.640,A2.2L,ambient,2,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:45:36.215,FO,49,0,353,1006,0.649,A1.2L,ambient,1,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:45:54.291,FO,50,0,650,1845,0.648,A8.2L,ambient,8,low,Montipora capitata x Symbiodinium spp.,
24-07-15,20:46:56.619,FO,51,0,541,1433,0.622,A6.2H,ambient,6,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:47:33.736,FO,52,0,706,1566,0.549,A3.2H,ambient,3,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:48:26.810,FO,53,0,258,734,0.649,A9.2H,ambient,9,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:48:46.628,FO,54,0,232,695,0.666,A7.2H,ambient,7,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:49:07.427,FO,55,0,1017,2883,0.647,A10.2H,ambient,10,high,Montipora capitata x Symbiodinium spp.,
24-07-15,20:49:38.715,FO,56,0,326,957,0.659,A5.2C,ambient,5,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:49:58.133,FO,57,0,68,279,0.756,A8.2C,ambient,8,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:50:21.163,FO,58,0,367,939,0.609,A6.2C,ambient,6,control,Montipora capitata x Symbiodinium spp.,
24-07-15,20:50:53.185,FO,59,0,678,1814,0.626,A4.2C,ambient,4,control,Montipora capitata x Symbiodinium spp.,
