Date,Time,Type,1:Fo,1:Fm,1:Fv/Fm,sample_id,temp,colony,leachate,species,note
24-08-16,20:13:53.140,FO,667,1947,0.657,A7.2C,ambient,7,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:14:19.720,FO,765,2124,0.640,A10.2C,ambient,10,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:14:46.220,FO,417,1235,0.662,A2.2C,ambient,2,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:15:05.240,FO,483,1261,0.617,A9.2C,ambient,9,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:15:37.470,FO,588,1549,0.620,A1.2C,ambient,1,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:16:23.900,FO,329,979,0.664,A3.2L,ambient,3,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:16:44.660,FO,141,473,0.702,A9.2L,ambient,9,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:17:07.190,FO,204,502,0.594,A10.2L,ambient,10,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:17:25.220,FO,528,1506,0.649,A4.2L,ambient,4,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:17:45.580,FO,297,804,0.631,A6.2L,ambient,6,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:18:42.430,FO,1070,2981,0.641,A1.2H,ambient,1,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:19:03.590,FO,633,1832,0.654,A5.2H,ambient,5,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:19:23.000,FO,467,1381,0.662,A8.2H,ambient,8,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:19:48.620,FO,909,2714,0.665,A4.2H,ambient,4,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:21:12.770,FO,228,713,0.680,A2.2H,ambient,2,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:22:21.230,FO,251,656,0.617,H10.2L,hot,10,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:22:48.950,FO,210,626,0.665,H6.2L,hot,6,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:23:10.140,FO,533,1551,0.656,H4.2L,hot,4,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:23:31.050,FO,367,1100,0.666,H1.2L,hot,1,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:24:01.340,FO,276,883,0.687,H7.2L,hot,7,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:25:11.850,FO,370,1091,0.661,H5.2H,hot,5,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:25:30.470,FO,258,768,0.664,H6.2H,hot,6,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:25:49.590,FO,854,2229,0.617,H9.2H,hot,9,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:26:08.100,FO,404,1112,0.637,H3.2H,hot,3,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:26:42.970,FO,636,1790,0.645,H2.2H,hot,2,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:28:00.220,FO,471,1377,0.658,H8.2C,hot,8,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:28:35.380,FO,291,973,0.701,H10.2C,hot,10,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:29:08.450,FO,463,1300,0.644,H3.2C,hot,3,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:29:44.550,FO,310,905,0.657,H1.2C,hot,1,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:30:11.910,FO,515,1479,0.652,H2.2C,hot,2,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:33:02.550,FO,633,1703,0.628,A8.2C,ambient,8,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:33:25.190,FO,418,1188,0.648,A4.2C,ambient,4,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:33:55.080,FO,401,1121,0.642,A5.2C,ambient,5,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:34:19.260,FO,149,432,0.655,A3.2C,ambient,3,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:34:40.050,FO,386,994,0.612,A6.2C,ambient,6,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:35:11.150,FO,853,2330,0.634,A6.2H,ambient,6,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:35:31.560,FO,676,1886,0.642,A10.2H,ambient,10,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:35:48.440,FO,254,762,0.667,A7.2H,ambient,7,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:36:08.050,FO,395,1635,0.758,A9.2H,ambient,9,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:36:33.730,FO,687,2043,0.664,A3.2H,ambient,3,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:38:21.320,FO,226,688,0.672,A7.2L,ambient,7,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:38:40.390,FO,475,1480,0.679,A2.2L,ambient,2,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:38:59.110,FO,369,1123,0.671,A5.2L,ambient,5,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:39:15.700,FO,267,834,0.680,A1.2L,ambient,1,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:39:31.590,FO,882,2417,0.635,A8.2L,ambient,8,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:41:17.880,FO,1111,2932,0.621,H3.2L,hot,3,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:41:41.160,FO,724,1976,0.634,H9.2L,hot,9,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:42:00.730,FO,475,1370,0.653,H5.2L,hot,5,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:42:19.700,FO,753,2087,0.639,H2.2L,hot,2,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:42:44.420,FO,449,1278,0.649,H8.2L,hot,8,low,Montipora capitata x Symbiodinium spp.,
24-08-16,20:43:30.700,FO,397,1164,0.659,H1.2H,hot,1,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:43:52.100,FO,947,2500,0.621,H10.2H,hot,10,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:44:14.090,FO,155,486,0.681,H4.2H,hot,4,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:44:46.970,FO,584,1501,0.611,H8.2H,hot,8,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:45:07.050,FO,558,1732,0.678,H7.2H,hot,7,high,Montipora capitata x Symbiodinium spp.,
24-08-16,20:45:56.180,FO,446,1161,0.616,H6.2C,hot,6,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:46:13.360,FO,389,1215,0.680,H7.2,hot,7,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:46:34.620,FO,483,1443,0.665,H4.2C,hot,4,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:46:58.850,FO,360,1092,0.670,H5.2C,hot,5,control,Montipora capitata x Symbiodinium spp.,
24-08-16,20:47:18.560,FO,245,755,0.675,H9.2C,hot,9,control,Montipora capitata x Symbiodinium spp.,
