1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: PAR - Datetime;1: PAR - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2024-07-16 20:13:53.140;667;2024-07-16 20:13:53.140;1947;2024-07-16 20:13:53.140;0;2024-07-16 20:13:53.140;25.5;2024-07-16 20:13:53.140;0.657;2024-07-16 20:13:53.140;0.0
2024-07-16 20:14:19.720;765;2024-07-16 20:14:19.720;2124;2024-07-16 20:14:19.720;0;2024-07-16 20:14:19.720;25.5;2024-07-16 20:14:19.720;0.640;2024-07-16 20:14:19.720;0.0
2024-07-16 20:14:46.220;417;2024-07-16 20:14:46.220;1235;2024-07-16 20:14:46.220;0;2024-07-16 20:14:46.220;25.5;2024-07-16 20:14:46.220;0.662;2024-07-16 20:14:46.220;0.0
2024-07-16 20:15:05.240;483;2024-07-16 20:15:05.240;1261;2024-07-16 20:15:05.240;0;2024-07-16 20:15:05.240;25.4;2024-07-16 20:15:05.240;0.617;2024-07-16 20:15:05.240;0.0
2024-07-16 20:15:37.470;588;2024-07-16 20:15:37.470;1549;2024-07-16 20:15:37.470;0;2024-07-16 20:15:37.470;25.4;2024-07-16 20:15:37.470;0.620;2024-07-16 20:15:37.470;0.0
2024-07-16 20:16:23.900;329;2024-07-16 20:16:23.900;979;2024-07-16 20:16:23.900;0;2024-07-16 20:16:23.900;25.4;2024-07-16 20:16:23.900;0.664;2024-07-16 20:16:23.900;0.0
2024-07-16 20:16:44.660;141;2024-07-16 20:16:44.660;473;2024-07-16 20:16:44.660;0;2024-07-16 20:16:44.660;25.4;2024-07-16 20:16:44.660;0.702;2024-07-16 20:16:44.660;0.0
2024-07-16 20:17:07.190;204;2024-07-16 20:17:07.190;502;2024-07-16 20:17:07.190;0;2024-07-16 20:17:07.190;25.3;2024-07-16 20:17:07.190;0.594;2024-07-16 20:17:07.190;0.0
2024-07-16 20:17:25.220;528;2024-07-16 20:17:25.220;1506;2024-07-16 20:17:25.220;0;2024-07-16 20:17:25.220;25.3;2024-07-16 20:17:25.220;0.649;2024-07-16 20:17:25.220;0.0
2024-07-16 20:17:45.580;297;2024-07-16 20:17:45.580;804;2024-07-16 20:17:45.580;0;2024-07-16 20:17:45.580;25.3;2024-07-16 20:17:45.580;0.631;2024-07-16 20:17:45.580;0.0
