1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: PAR - Datetime;1: PAR - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2024-07-14 08:02:46.032;736;2024-07-14 08:02:46.032;1318;2024-07-14 08:02:46.032;0;2024-07-14 08:02:46.032;26.0;2024-07-14 08:02:46.032;0.442;2024-07-14 08:02:46.032;0.0
2024-07-14 08:02:56.022;792;2024-07-14 08:02:56.022;1369;2024-07-14 08:02:56.022;62;2024-07-14 08:02:56.022;26.1;2024-07-14 08:02:56.022;0.421;2024-07-14 08:02:56.022;5.5
2024-07-14 08:03:06.019;798;2024-07-14 08:03:06.019;1322;2024-07-14 08:03:06.019;112;2024-07-14 08:03:06.019;26.0;2024-07-14 08:03:06.019;0.396;2024-07-14 08:03:06.019;9.3
2024-07-14 08:03:16.004;796;2024-07-14 08:03:16.004;1316;2024-07-14 08:03:16.004;162;2024-07-14 08:03:16.004;26.0;2024-07-14 08:03:16.004;0.395;2024-07-14 08:03:16.004;13.4
2024-07-14 08:03:25.995;798;2024-07-14 08:03:25.995;1294;2024-07-14 08:03:25.995;224;2024-07-14 08:03:25.995;26.0;2024-07-14 08:03:25.995;0.383;2024-07-14 08:03:25.995;18.0
2024-07-14 08:03:35.983;858;2024-07-14 08:03:35.983;1319;2024-07-14 08:03:35.983;309;2024-07-14 08:03:35.983;26.0;2024-07-14 08:03:35.983;0.350;2024-07-14 08:03:35.983;22.7
2024-07-14 08:03:45.973;926;2024-07-14 08:03:45.973;1353;2024-07-14 08:03:45.973;470;2024-07-14 08:03:45.973;26.0;2024-07-14 08:03:45.973;0.316;2024-07-14 08:03:45.973;31.2
2024-07-14 08:03:55.964;963;2024-07-14 08:03:55.964;1313;2024-07-14 08:03:55.964;703;2024-07-14 08:03:55.964;26.0;2024-07-14 08:03:55.964;0.267;2024-07-14 08:03:55.964;39.4
2024-07-14 08:04:05.974;1025;2024-07-14 08:04:05.974;1294;2024-07-14 08:04:05.974;1036;2024-07-14 08:04:05.974;26.1;2024-07-14 08:04:05.974;0.208;2024-07-14 08:04:05.974;45.3
2024-07-14 08:04:15.960;1107;2024-07-14 08:04:15.960;1295;2024-07-14 08:04:15.960;1550;2024-07-14 08:04:15.960;26.1;2024-07-14 08:04:15.960;0.145;2024-07-14 08:04:15.960;47.2
